Word;Part of speech;Translation;example;theme
mix;noun;ru: смесь--ua: суміш;This cake mix is easy to use. + The mix of flavors is amazing.;ua: їжа -- ru: еда
to mix;verb;ru: смешивать--ua: змішувати;Mix the ingredients well. + She mixed flour with sugar.;ua: їжа -- ru: еда
mixture;noun;ru: смесь--ua: суміш;The mixture should be smooth. + I made a mixture of spices.;ua: їжа -- ru: еда
mousse;noun;ru: мусс--ua: мус;Chocolate mousse is my favorite dessert. + She prepared a strawberry mousse.;ua: їжа -- ru: еда
mozzarella;noun;ru: моцарелла--ua: моцарела;Mozzarella is great for pizza. + I bought fresh mozzarella cheese.;ua: їжа -- ru: еда
mug;noun;ru: кружка--ua: кружка;I drank tea from a large mug. + He gave me a mug as a gift.;ua: їжа -- ru: еда
mushroom;noun;ru: гриб--ua: гриб;I love mushroom soup. + We picked mushrooms in the forest.;ua: їжа -- ru: еда
mussel;noun;ru: мидия--ua: мідія;Mussels are often served with white wine. + He ordered mussels in garlic sauce.;ua: їжа -- ru: еда
mustard;noun;ru: горчица--ua: гірчиця;Mustard adds a spicy flavor. + I spread mustard on my sandwich.;ua: їжа -- ru: еда
mutton;noun;ru: баранина--ua: баранина;Mutton is often used in stews. + I prefer mutton over beef.;ua: їжа -- ru: еда
nut;noun;ru: орех--ua: горіх;Nuts are a healthy snack. + He is allergic to nuts.;ua: їжа -- ru: еда
oil;noun;ru: масло--ua: олія;I fried potatoes in sunflower oil. + Olive oil is good for health.;ua: їжа -- ru: еда
olive;noun;ru: оливка--ua: оливка;Green olives have a unique taste. + I like olives in my salad.;ua: їжа -- ru: еда
olive oil;noun;ru: оливковое масло--ua: оливкова олія;Olive oil is used in Mediterranean cuisine. + I cook with olive oil.;ua: їжа -- ru: еда
to one's taste;phrase;ru: по вкусу--ua: за смаком;Add salt to your taste. + Adjust the seasoning to your taste.;ua: їжа -- ru: еда
onion;noun;ru: лук--ua: цибуля;I chopped an onion for the salad. + Onions add flavor to dishes.;ua: їжа -- ru: еда
orange;noun;ru: апельсин--ua: апельсин;Oranges are rich in vitamin C. + I squeezed fresh orange juice.;ua: їжа -- ru: еда
to order;verb;ru: заказывать--ua: замовляти;I ordered pasta at the restaurant. + She ordered a coffee.;ua: їжа -- ru: еда
oyster;noun;ru: устрица--ua: устриця;Oysters are considered a delicacy. + He tried fresh oysters for the first time.;ua: їжа -- ru: еда
pan;noun;ru: сковорода--ua: сковорода;I fried eggs in a pan. + A non-stick pan is very useful.;ua: їжа -- ru: еда
pancake;noun;ru: блин--ua: млинець;I had pancakes for breakfast. + She made blueberry pancakes.;ua: їжа -- ru: еда
papaya;noun;ru: папайя--ua: папая;Papaya is a tropical fruit. + I love fresh papaya with lime.;ua: їжа -- ru: еда
paprika;noun;ru: паприка--ua: паприка;Paprika gives a smoky flavor. + I added paprika to the meat.;ua: їжа -- ru: еда
parfait;noun;ru: парфе--ua: парфе;I ordered a chocolate parfait. + Parfait is a layered dessert.;ua: їжа -- ru: еда
parsley;noun;ru: петрушка--ua: петрушка;I garnished the dish with parsley. + Fresh parsley has a strong aroma.;ua: їжа -- ru: еда
pastry;noun;ru: выпечка--ua: випічка;I love French pastry. + She bought a box of pastries.;ua: їжа -- ru: еда
pea;noun;ru: горох--ua: горох;Peas are rich in fiber. + I added peas to the soup.;ua: їжа -- ru: еда
peach;noun;ru: персик--ua: персик;Peaches are juicy and sweet. + She made a peach pie.;ua: їжа -- ru: еда
pear;noun;ru: груша--ua: груша;This pear is very ripe. + I love pear juice.;ua: їжа -- ru: еда
to peel;verb;ru: чистить--ua: чистити;Peel the potatoes before boiling. + I peeled an apple for the pie.;ua: їжа -- ru: еда
pepper;noun;ru: перец--ua: перець;Bell peppers are colorful. + I like black pepper on my steak.;ua: їжа -- ru: еда
to pepper;verb;ru: перчить--ua: перчити;He peppered his soup. + Add some pepper to the salad.;ua: їжа -- ru: еда
pesto;noun;ru: песто--ua: песто;I made homemade pesto sauce. + Pesto goes well with pasta.;ua: їжа -- ru: еда
to pickle;verb;ru: мариновать--ua: маринувати;She pickled cucumbers. + I love pickled onions.;ua: їжа -- ru: еда
pie;noun;ru: пирог--ua: пиріг;Apple pie is delicious. + He baked a pumpkin pie.;ua: їжа -- ru: еда
pine nut;noun;ru: кедровый орех--ua: кедровий горіх;Pine nuts are expensive. + I added pine nuts to the salad.;ua: їжа -- ru: еда
pineapple;noun;ru: ананас--ua: ананас;Pineapple is sweet and juicy. + I made a pineapple smoothie.;ua: їжа -- ru: еда
plastic bag;noun;ru: пластиковый пакет--ua: пластиковий пакет;I carried groceries in a plastic bag. + She put fruits in a plastic bag.;ua: їжа -- ru: еда
plate;noun;ru: тарелка--ua: тарілка;I served food on a plate. + The plate was full of pasta.;ua: їжа -- ru: еда
plum;noun;ru: слива--ua: слива;Plums are sweet and juicy. + I made plum jam.;ua: їжа -- ru: еда
pork;noun;ru: свинина--ua: свинина;Pork is used in many dishes. + He grilled some pork chops.;ua: їжа -- ru: еда
potato;noun;ru: картофель--ua: картопля;I boiled some potatoes. + Mashed potatoes are my favorite.;ua: їжа -- ru: еда
potato chips;noun;ru: картофельные чипсы--ua: картопляні чипси;I bought a bag of potato chips. + Potato chips are crispy and salty.;ua: їжа -- ru: еда
to pour;verb;ru: наливать--ua: наливати;He poured coffee into a mug. + Pour some juice for me.;ua: їжа -- ru: еда
powder;noun;ru: порошок--ua: порошок;Cocoa powder is used in baking. + I bought protein powder.;ua: їжа -- ru: еда
to powder;verb;ru: посыпать--ua: посипати;She powdered the cake with sugar. + I powdered my dessert with cinnamon.;ua: їжа -- ru: еда
prune;noun;ru: чернослив--ua: чорнослив;Prunes are good for digestion. + I love prune compote.;ua: їжа -- ru: еда
pumpkin;noun;ru: тыква--ua: гарбуз;Pumpkin soup is delicious. + We carved a pumpkin for Halloween.;ua: їжа -- ru: еда
puree;noun;ru: пюре--ua: пюре;Tomato puree is used in sauces. + I made carrot puree.;ua: їжа -- ru: еда
radish;noun;ru: редис--ua: редиска;Radishes add crunch to salads. + I planted radishes in my garden.;ua: їжа -- ru: еда
raisins;noun;ru: изюм--ua: родзинки;Raisins are sweet and chewy. + I put raisins in my oatmeal.;ua: їжа -- ru: еда
raspberry;noun;ru: малина--ua: малина;Raspberries are rich in vitamins. + She made raspberry jam.;ua: їжа -- ru: еда
raw;adjective;ru: сырой--ua: сирий;Eating raw fish can be risky. + I prefer raw vegetables in my salad.;ua: їжа -- ru: еда
relish;noun;ru: приправa--ua: приправа;I love sweet pickle relish. + This burger has a great relish.;ua: їжа -- ru: еда
rice;noun;ru: рис--ua: рис;I cooked a pot of rice. + Rice is a staple food in many countries.;ua: їжа -- ru: еда
rind;noun;ru: кожура--ua: шкірка;The rind of the cheese was very hard. + I grated some lemon rind.;ua: їжа -- ru: еда
ripe;adjective;ru: спелый--ua: стиглий;These bananas are ripe. + The peaches were perfectly ripe.;ua: їжа -- ru: еда
rissole;noun;ru: котлета--ua: котлета;She made chicken rissoles for dinner. + I love crispy rissoles with potatoes.;ua: їжа -- ru: еда
to toast;verb;ru: поджаривать--ua: підсмажувати;He toasted some bread for breakfast. + I like toasted sandwiches.;ua: їжа -- ru: еда
roast beef;noun;ru: ростбиф--ua: ростбіф;Roast beef is a classic dish. + He ordered a roast beef sandwich.;ua: їжа -- ru: еда
roll;noun;ru: булочка--ua: булочка;I ate a fresh roll with butter. + She bought a pack of dinner rolls.;ua: їжа -- ru: еда
rosemary;noun;ru: розмарин--ua: розмарин;Rosemary adds a great aroma to dishes. + I seasoned my chicken with rosemary.;ua: їжа -- ru: еда
rotten;adjective;ru: гнилой--ua: гнилий;The apple was rotten. + We threw away the rotten tomatoes.;ua: їжа -- ru: еда
rye;noun;ru: рожь--ua: жито;Rye bread is very healthy. + He prefers rye flour for baking.;ua: їжа -- ru: еда
saffron;noun;ru: шафран--ua: шафран;Saffron is the most expensive spice. + I added a pinch of saffron to the rice.;ua: їжа -- ru: еда
salad;noun;ru: салат--ua: салат;I ordered a fresh vegetable salad. + She made a chicken salad.;ua: їжа -- ru: еда
salami;noun;ru: салями--ua: салямі;Salami is often used in sandwiches. + I like pizza with salami.;ua: їжа -- ru: еда
salmon;noun;ru: лосось--ua: лосось;Grilled salmon is delicious. + He cooked salmon with lemon sauce.;ua: їжа -- ru: еда
salt;noun;ru: соль--ua: сіль;I added a pinch of salt to the soup. + Too much salt is unhealthy.;ua: їжа -- ru: еда
to salt;verb;ru: солить--ua: солити;She salted the meat before cooking. + I always salt my eggs.;ua: їжа -- ru: еда
salty;adjective;ru: соленый--ua: солоний;The soup was too salty. + I prefer salty snacks.;ua: їжа -- ru: еда
to sample;verb;ru: пробовать--ua: пробувати;He sampled the new dish. + She sampled different cheeses.;ua: їжа -- ru: еда
sandwich;noun;ru: бутерброд--ua: бутерброд;I made a ham sandwich. + He brought a sandwich for lunch.;ua: їжа -- ru: еда
sauce;noun;ru: соус--ua: соус;This pasta sauce is amazing. + I love spicy tomato sauce.;ua: їжа -- ru: еда
saucepan;noun;ru: кастрюля--ua: каструля;I boiled water in a saucepan. + She cooked soup in a large saucepan.;ua: їжа -- ru: еда
saucer;noun;ru: блюдце--ua: блюдце;She placed the cup on a saucer. + There was a teaspoon on the saucer.;ua: їжа -- ru: еда
sausage;noun;ru: колбаса--ua: ковбаса;He grilled some sausages. + I bought a smoked sausage.;ua: їжа -- ru: еда
sausage skin;noun;ru: оболочка колбасы--ua: оболонка ковбаси;The sausage skin was too thick. + She removed the sausage skin before cooking.;ua: їжа -- ru: еда
to scald;verb;ru: ошпаривать--ua: обшпарювати;I scalded the tomatoes to remove the skin. + He scalded the milk before making yogurt.;ua: їжа -- ru: еда
to scale;verb;ru: чистить рыбу--ua: чистити рибу;She scaled the fish before cooking. + He used a knife to scale the salmon.;ua: їжа -- ru: еда
scallion;noun;ru: зеленый лук--ua: зелена цибуля;I chopped some scallions for the salad. + Scallions have a mild flavor.;ua: їжа -- ru: еда
scallop;noun;ru: гребешок--ua: гребінець;Scallops are a seafood delicacy. + He ordered grilled scallops.;ua: їжа -- ru: еда
seasoning;noun;ru: приправа--ua: приправа;I added some seasoning to the meat. + This dish needs more seasoning.;ua: їжа -- ru: еда
